pre,suff,count,wikt
cum,wad,372.0,True
cum,bag,1608.0,False
cum,bucket,4441.0,True
cum,sack,212.0,False
cum,ball,654.0,True
cum,splash,59.0,False
cum,pot,107.0,False
cum,pile,133.0,False
cum,weasel,8.0,False
cum,monkey,4.0,False
cum,dog,2832.0,False
cum,rat,24.0,False
cum,bird,49.0,False
cum,goblin,138.0,False
cum,puffin,2.0,False
cum,licker,62.0,False
cum,muncher,40.0,False
cum,fucker,27.0,False
cum,sucker,222.0,False
cum,lord,2521.0,False
cum,clown,7.0,False
cum,slut,34414.0,True
cum,pirate,3.0,False
cum,bro,42.0,False
cum,nazi,4.0,False
cum,whore,1240.0,True
cum,boy,2079.0,False
cum,boi,351.0,False
cum,burglar,26.0,False
cum,bandit,1.0,False
cum,bitch,47.0,False
cum,waffle,55.0,False
cum,burger,519.0,False
cum,cake,410.0,False
cum,nugget,146.0,False
cum,rag,8266.0,True
cum,nozzle,16.0,False
cum,stain,9372.0,True
cum,wagon,29.0,False
cum,weed,8.0,False
cum,hat,52.0,False
cum,canoe,1.0,False
cum,boat,26.0,False
cum,stick,78.0,False
cum,socket,34.0,False
cum,trumpet,37.0,False
cum,mitten,0.0,False
cum,twat,169.0,False
cum,dick,70.0,False
cum,cunt,33.0,False
cum,ass,76.0,False
cum,cock,92.0,False
cum,balls,321.0,True
cum,face,1009.0,False
cum,head,184.0,False
cum,nuts,33.0,False
cum,brain,4121.0,False
cum,brains,1594.0,False
cum,knuckle,5.0,False
cum,mouth,6.0,False
cum,nose,8.0,False
cum,skull,53.0,False
cum,tard,373.0,False
cum,oid,2.0,False
cum,ster,360.0,False
cum,azoid,0.0,False
cum,let,107.0,False
cum,fuck,173.0,False
cum,shit,247.0,False
cum,fart,1639.0,False
cum,wit,2.0,False
cum,lib,1.0,False
cum,breath,98.0,False
snot,wad,78.0,True
snot,bag,342.0,True
snot,bucket,29.0,False
snot,sack,2.0,False
snot,ball,478.0,True
snot,splash,1.0,False
snot,pot,9.0,False
snot,pile,6.0,False
snot,weasel,28.0,False
snot,monkey,8.0,False
snot,dog,3.0,False
snot,rat,1.0,False
snot,bird,4.0,False
snot,goblin,158.0,False
snot,puffin,0.0,False
snot,licker,18.0,False
snot,muncher,5.0,False
snot,fucker,6.0,False
snot,sucker,218.0,False
snot,lord,10.0,False
snot,clown,0.0,False
snot,slut,0.0,False
snot,pirate,0.0,False
snot,bro,0.0,False
snot,nazi,0.0,False
snot,whore,0.0,False
snot,boy,28.0,False
snot,boi,1.0,False
snot,burglar,2.0,False
snot,bandit,0.0,False
snot,bitch,3.0,False
snot,waffle,39.0,False
snot,burger,18.0,False
snot,cake,2.0,False
snot,nugget,5.0,False
snot,rag,600.0,True
snot,nozzle,7.0,False
snot,stain,11.0,False
snot,wagon,4.0,False
snot,weed,4.0,False
snot,hat,5.0,False
snot,canoe,0.0,False
snot,boat,0.0,False
snot,stick,3.0,False
snot,socket,3.0,False
snot,trumpet,0.0,False
snot,mitten,0.0,False
snot,twat,2.0,False
snot,dick,10.0,False
snot,cunt,3.0,False
snot,ass,11.0,False
snot,cock,7.0,False
snot,balls,194.0,True
snot,face,515.0,True
snot,head,116.0,True
snot,nuts,1.0,False
snot,brain,55.0,False
snot,brains,83.0,False
snot,knuckle,0.0,False
snot,mouth,3.0,False
snot,nose,546.0,True
snot,skull,4.0,False
snot,tard,1.0,False
snot,oid,1.0,False
snot,ster,3.0,False
snot,azoid,0.0,False
snot,let,6.0,False
snot,fuck,21.0,False
snot,shit,12.0,False
snot,fart,31.0,False
snot,wit,1.0,False
snot,lib,0.0,False
snot,breath,0.0,False
spit,wad,670.0,True
spit,bag,31.0,False
spit,bucket,58.0,False
spit,sack,1.0,False
spit,ball,23850.825,True
spit,splash,0.0,False
spit,pot,3.0,False
spit,pile,3.0,False
spit,weasel,1.0,False
spit,monkey,3.0,False
spit,dog,8.0,False
spit,rat,1.0,False
spit,bird,0.0,False
spit,goblin,0.0,False
spit,puffin,0.0,False
spit,licker,17.0,False
spit,muncher,0.0,False
spit,fucker,3.0,False
spit,sucker,6.0,False
spit,lord,150.0,False
spit,clown,0.0,False
spit,slut,2.0,False
spit,pirate,0.0,False
spit,bro,5.0,False
spit,nazi,1.0,False
spit,whore,0.0,False
spit,boy,116.0,False
spit,boi,3.0,False
spit,burglar,0.0,False
spit,bandit,1.0,False
spit,bitch,2.0,False
spit,waffle,0.0,False
spit,burger,44.0,False
spit,cake,11.0,False
spit,nugget,0.0,False
spit,rag,9.0,False
spit,nozzle,0.0,False
spit,stain,21.0,False
spit,wagon,1.0,False
spit,weed,0.0,False
spit,hat,0.0,False
spit,canoe,0.0,False
spit,boat,1.0,False
spit,stick,34.0,True
spit,socket,0.0,False
spit,trumpet,0.0,False
spit,mitten,0.0,False
spit,twat,0.0,False
spit,dick,2.0,False
spit,cunt,0.0,False
spit,ass,0.0,False
spit,cock,7.0,False
spit,balls,8319.0,True
spit,face,19.0,False
spit,head,409.0,False
spit,nuts,0.0,False
spit,brain,2.0,False
spit,brains,0.0,False
spit,knuckle,1.0,False
spit,mouth,6.0,False
spit,nose,1.0,False
spit,skull,0.0,False
spit,tard,2.0,False
spit,oid,0.0,False
spit,ster,8.0,False
spit,azoid,0.0,False
spit,let,3.0,False
spit,fuck,880.0,False
spit,shit,11.0,False
spit,fart,3.0,False
spit,wit,0.0,False
spit,lib,0.0,False
spit,breath,0.0,False
jizz,wad,84.0,True
jizz,bag,431.0,False
jizz,bucket,210.0,False
jizz,sack,8.0,False
jizz,ball,129.0,False
jizz,splash,5.0,False
jizz,pot,16.0,False
jizz,pile,7.0,False
jizz,weasel,11.0,False
jizz,monkey,86.0,False
jizz,dog,6.0,False
jizz,rat,10.0,False
jizz,bird,10.0,False
jizz,goblin,16.0,False
jizz,puffin,1.0,False
jizz,licker,14.0,False
jizz,muncher,2.0,False
jizz,fucker,26.0,False
jizz,sucker,13.0,False
jizz,lord,136.0,False
jizz,clown,2.0,False
jizz,slut,5.0,False
jizz,pirate,1.0,False
jizz,bro,12.0,False
jizz,nazi,1.0,False
jizz,whore,2.0,False
jizz,boy,45.0,False
jizz,boi,16.0,False
jizz,burglar,0.0,False
jizz,bandit,5.0,False
jizz,bitch,6.0,False
jizz,waffle,42.0,False
jizz,burger,81.0,False
jizz,cake,48.0,False
jizz,nugget,24.0,False
jizz,rag,993.0,True
jizz,nozzle,15.0,False
jizz,stain,402.0,False
jizz,wagon,4.0,False
jizz,weed,1.0,False
jizz,hat,9.0,False
jizz,canoe,2.0,False
jizz,boat,12.0,False
jizz,stick,10.0,False
jizz,socket,2.0,False
jizz,trumpet,197.0,False
jizz,mitten,2.0,False
jizz,twat,3.0,False
jizz,dick,6.0,False
jizz,cunt,11.0,False
jizz,ass,24.0,False
jizz,cock,176.0,False
jizz,balls,76.0,False
jizz,face,422.0,False
jizz,head,46.0,False
jizz,nuts,13.0,False
jizz,brain,16.0,False
jizz,brains,13.0,False
jizz,knuckle,3.0,False
jizz,mouth,17.0,False
jizz,nose,4.0,False
jizz,skull,1.0,False
jizz,tard,12.0,False
jizz,oid,2.0,False
jizz,ster,13.0,False
jizz,azoid,0.0,False
jizz,let,18.0,False
jizz,fuck,13.0,False
jizz,shit,6.0,False
jizz,fart,17.0,False
jizz,wit,5.0,False
jizz,lib,0.0,False
jizz,breath,41.0,False
piss,wad,92.0,False
piss,bag,481.0,False
piss,bucket,316.0,False
piss,sack,6.0,False
piss,ball,88.0,False
piss,splash,0.0,False
piss,pot,2297.0,True
piss,pile,15.0,False
piss,weasel,94.0,False
piss,monkey,16.0,False
piss,dog,9.0,False
piss,rat,40.0,False
piss,bird,9.0,False
piss,goblin,21.0,False
piss,puffin,1.0,False
piss,licker,25.0,False
piss,muncher,4.0,False
piss,fucker,21.0,False
piss,sucker,2.0,False
piss,lord,714.0,False
piss,clown,13.0,False
piss,slut,19.0,False
piss,pirate,6.0,False
piss,bro,10.0,False
piss,nazi,5.0,False
piss,whore,210.0,True
piss,boy,1561.0,True
piss,boi,955.0,False
piss,burglar,1.0,False
piss,bandit,3.0,False
piss,bitch,83.0,False
piss,waffle,23.0,False
piss,burger,27.0,False
piss,cake,51.0,False
piss,nugget,15.0,False
piss,rag,119.0,False
piss,nozzle,10.0,False
piss,stain,63.0,False
piss,wagon,20.0,False
piss,weed,43.0,False
piss,hat,49.0,False
piss,canoe,1.0,False
piss,boat,6.0,False
piss,stick,9.0,False
piss,socket,0.0,False
piss,trumpet,10.0,False
piss,mitten,4.0,False
piss,twat,6.0,False
piss,dick,110.0,False
piss,cunt,125.0,False
piss,ass,417.0,True
piss,cock,57.0,False
piss,balls,84.0,False
piss,face,541.0,True
piss,head,6871.0,True
piss,nuts,42.0,False
piss,brain,98.0,True
piss,brains,21.0,True
piss,knuckle,4.0,False
piss,mouth,44.0,False
piss,nose,4.0,False
piss,skull,6.0,False
piss,tard,44.0,False
piss,oid,1.0,False
piss,ster,0.0,False
piss,azoid,0.0,False
piss,let,4.0,False
piss,fuck,223.0,False
piss,shit,112.0,False
piss,fart,170.0,False
piss,wit,32.0,False
piss,lib,1.0,False
piss,breath,39.0,True
puke,wad,1.0,True
puke,bag,85.0,False
puke,bucket,101.0,False
puke,sack,17.0,False
puke,ball,41.0,True
puke,splash,3.0,False
puke,pot,3.0,False
puke,pile,12.0,False
puke,weasel,1.0,False
puke,monkey,4.0,False
puke,dog,2.0,False
puke,rat,6.0,False
puke,bird,1.0,False
puke,goblin,1.0,False
puke,puffin,0.0,False
puke,licker,0.0,False
puke,muncher,0.0,False
puke,fucker,17.0,False
puke,sucker,1.0,False
puke,lord,5.0,False
puke,clown,0.0,False
puke,slut,18.0,False
puke,pirate,0.0,False
puke,bro,7.0,False
puke,nazi,0.0,False
puke,whore,12.0,False
puke,boy,22.0,False
puke,boi,2.0,False
puke,burglar,1.0,False
puke,bandit,0.0,False
puke,bitch,0.0,False
puke,waffle,1.0,False
puke,burger,2.0,False
puke,cake,3.0,False
puke,nugget,0.0,False
puke,rag,1.0,False
puke,nozzle,0.0,False
puke,stain,105.0,True
puke,wagon,2.0,False
puke,weed,14.0,True
puke,hat,2.0,False
puke,canoe,0.0,False
puke,boat,0.0,False
puke,stick,7.0,False
puke,socket,0.0,False
puke,trumpet,0.0,False
puke,mitten,0.0,False
puke,twat,0.0,False
puke,dick,30.0,False
puke,cunt,7.0,False
puke,ass,32.0,False
puke,cock,1.0,False
puke,balls,13.0,True
puke,face,183.0,True
puke,head,16.0,False
puke,nuts,4.0,False
puke,brain,1.0,False
puke,brains,3.0,False
puke,knuckle,0.0,False
puke,mouth,14.0,False
puke,nose,8.0,False
puke,skull,18.0,False
puke,tard,5.0,False
puke,oid,9.0,False
puke,ster,52.0,False
puke,azoid,0.0,False
puke,let,3.0,False
puke,fuck,40.0,False
puke,shit,51.0,False
puke,fart,5.0,False
puke,wit,0.0,False
puke,lib,0.0,False
puke,breath,10.0,False
spunk,wad,12.0,False
spunk,bag,21.0,False
spunk,bucket,94.0,False
spunk,sack,0.0,False
spunk,ball,19.0,False
spunk,splash,0.0,False
spunk,pot,0.0,False
spunk,pile,2.0,False
spunk,weasel,10.0,False
spunk,monkey,54.0,False
spunk,dog,4.0,False
spunk,rat,78.0,False
spunk,bird,0.0,False
spunk,goblin,9.0,False
spunk,puffin,8.0,False
spunk,licker,0.0,False
spunk,muncher,3.0,False
spunk,fucker,1.0,False
spunk,sucker,2.0,False
spunk,lord,8.0,False
spunk,clown,0.0,False
spunk,slut,3.0,False
spunk,pirate,0.0,False
spunk,bro,0.0,False
spunk,nazi,0.0,False
spunk,whore,0.0,False
spunk,boy,4.0,False
spunk,boi,0.0,False
spunk,burglar,0.0,False
spunk,bandit,0.0,False
spunk,bitch,0.0,False
spunk,waffle,12.0,False
spunk,burger,3.0,False
spunk,cake,4.0,False
spunk,nugget,43.0,False
spunk,rag,29.0,False
spunk,nozzle,8.0,False
spunk,stain,33.0,False
spunk,wagon,8.0,False
spunk,weed,2.0,False
spunk,hat,0.0,False
spunk,canoe,0.0,False
spunk,boat,0.0,False
spunk,stick,5.0,False
spunk,socket,0.0,False
spunk,trumpet,436.0,False
spunk,mitten,0.0,False
spunk,twat,1.0,False
spunk,dick,1.0,False
spunk,cunt,0.0,False
spunk,ass,2.0,False
spunk,cock,0.0,False
spunk,balls,4.0,False
spunk,face,15.0,False
spunk,head,12.0,False
spunk,nuts,1.0,False
spunk,brain,2.0,False
spunk,brains,0.0,False
spunk,knuckle,0.0,False
spunk,mouth,29.0,False
spunk,nose,1.0,False
spunk,skull,0.0,False
spunk,tard,0.0,False
spunk,oid,0.0,False
spunk,ster,14.0,False
spunk,azoid,0.0,False
spunk,let,4.0,False
spunk,fuck,2.0,False
spunk,shit,1.0,False
spunk,fart,3.0,False
spunk,wit,0.0,False
spunk,lib,0.0,False
spunk,breath,5.0,False
fart,wad,143.0,False
fart,bag,907.0,True
fart,bucket,57.0,False
fart,sack,190.0,False
fart,ball,121.0,False
fart,splash,5.0,False
fart,pot,4.0,False
fart,pile,2.0,False
fart,weasel,17.0,False
fart,monkey,12.0,False
fart,dog,60.0,False
fart,rat,3.0,False
fart,bird,8.0,False
fart,goblin,40.0,False
fart,puffin,0.0,False
fart,licker,73.0,False
fart,muncher,30.0,False
fart,fucker,37.0,False
fart,sucker,110.0,False
fart,lord,125.0,False
fart,clown,13.0,False
fart,slut,17.0,False
fart,pirate,0.0,False
fart,bro,9.0,False
fart,nazi,0.0,False
fart,whore,1.0,False
fart,boy,259.0,False
fart,boi,40.0,False
fart,burglar,7.0,False
fart,bandit,10.0,False
fart,bitch,7.0,False
fart,waffle,52.0,False
fart,burger,45.0,False
fart,cake,49.0,False
fart,nugget,168.0,False
fart,rag,1.0,False
fart,nozzle,27.0,False
fart,stain,65.0,False
fart,wagon,24.0,False
fart,weed,7.0,False
fart,hat,24.0,False
fart,canoe,0.0,False
fart,boat,9.0,False
fart,stick,27.0,False
fart,socket,3.0,False
fart,trumpet,4.0,False
fart,mitten,27.0,False
fart,twat,2.0,False
fart,dick,49.0,False
fart,cunt,7.0,False
fart,ass,370.0,False
fart,cock,23.0,False
fart,balls,131.0,False
fart,face,1698.0,True
fart,head,417.0,True
fart,nuts,32.0,False
fart,brain,79.0,False
fart,brains,30.0,False
fart,knuckle,75.0,False
fart,mouth,199.0,False
fart,nose,20.0,False
fart,skull,1.0,False
fart,tard,16.0,False
fart,oid,5.0,False
fart,ster,29.0,False
fart,azoid,2.0,False
fart,let,43.0,False
fart,fuck,62.0,False
fart,shit,100.0,False
fart,fart,106.0,False
fart,wit,2.0,False
fart,lib,4.0,False
fart,breath,139.0,False
shit,wad,2496.0,True
shit,bag,176927.1,True
shit,bucket,5669.0,True
shit,sack,2811.0,True
shit,ball,5475.0,True
shit,splash,21.0,False
shit,pot,2391.0,True
shit,pile,20170.0,True
shit,weasel,2716.0,True
shit,monkey,250.0,False
shit,dog,358.0,False
shit,rat,1134.0,False
shit,bird,34414.0,True
shit,goblin,1040.0,True
shit,puffin,13.0,False
shit,licker,853.0,True
shit,muncher,330.0,True
shit,fucker,1667.0,True
shit,sucker,436.0,False
shit,lord,300941.65,True
shit,clown,329.0,False
shit,slut,33.0,False
shit,pirate,8.0,False
